text,expected_companies
"Coca‑Cola en France soutient et encourage la collecte des emballages [notamment en plastique], une fois le produit consommé, avec un objectif de collecter 100% des emballages afin qu’ils soient recyclés.","[""Coca‑Cola""]"
"Légers, durables, respectueux de la nature, ils vous attendent.",[]
"SUEZ permet à ses clients de fournir l’accès à des services d’eau et de déchets, par des solutions résilientes et innovantes.",['SUEZ']
"L’Oréal a adopté ses principes pour promouvoir l’utilisation de matières premières renouvelables, concevoir des matières premières permettant de réduire les déchets et préserver le cycle de l’eau.",['Oréal']
"Nestlé a consenti d’importants efforts pour réduire son impact environnemental, contribuant ainsi à réduire les coûts et, partant, à améliorer la rentabilité et la durabilité de ses activités.",['Nestlé']
"Légers, durables, respectueux de la nature, ils vous attendent.",[]
Apple et Microsoft sont des entreprises technologiques bien connues.,"['Apple', 'Microsoft']"
"Pour lutter contre la pollution, roulez en voiture.",[]
"Stäubli attache une grande importance aux enjeux sociaux, sociétaux et environnementaux de ses activités.",['Stäubli']
Getlink a choisi pour ses nouveaux engagements environnementaux un horizon de temps de six ans.,['Getlink']
"Chaque année, un suivi est effectué, afin de vérifier l’atteinte des objectifs fixés dans le cadre de la trajectoire.",[]
Delta Dore contribue aux Objectifs du Développement Durable.,"[""Delta Dore""]"
"Le groupe SNCF est fier de proposer depuis 2016 l'un des programme d’obligations vertes les plus efficaces, robustes, transparents et reconnues sur les marchés de capitaux, qui contribue fortement à atténuer le réchauffement climatique.",['groupe SNCF']
"Le train est le moyen de transport le plus durable, avec le plus faible impact en émissions de CO2e et autres particules.",[]
Notre utilité fait partie de notre responsabilité ; elle est aussi ce qui fonde notre durabilité.,[]
AFI KLM E&M analyse et utilise des technologies pour réduire cet impact environnemental partout où cela est possible.,['AFI KLM']
"Grâce aux ecogestes, chez Goron, il est simple et facile de réaliser des économies et de préserver l’environnement.","[""Goron""]"
"Air France – KLM, pionnier et leader dans l’utilisation de carburant d’aviation durable.","['Air France', 'KLM']"
Le Groupe innove sans cesse afin d’être une référence en matière de développement durable. ,[]
"Le Groupe BRL s’inscrit au cœur des défis du développement durable avec une raison d’être d’utilité territoriale et sociétale, respectueuse de l’environnement et de l’intérêt à long terme des populations.",['Groupe BRL']
"Nous nous engageons à promouvoir le développement durable dans l'ensemble de nos activités. Nous contrôlons l'utilisation d'énergie, d'eau et de matières premières, tout en réduisant les déchets et les émissions de gaz à effet de serre.",[]
Nous nous engageons sans réserve à prendre toute notre place dans la lutte contre le changement climatique.,[]
Ortec inscrit son action dans une stratégie de développement responsable.,['Ortec']
"Le respect de l’environnement : il est au cœur de nos métiers en tant qu’acteur de premier plan au service des industries, des collectivités et des particuliers.",[]
Nous avons conçu et utilisons un logiciel d’optimisation des déplacements de nos collaborateurs pour réduire nos consommations de carburant.,[]
"Chez Saretec, nous ne choisissons pas impérativement la solution la plus simple pour nous, mais celle qui aura une portée environnementale positive et sur le long terme",['Saretec']
"Depuis deux ans, CMA CGM propose à ses clients en Asie Pacifique de recharger les conteneurs sans perte de trajet à vide avec l’offre Container Reuse","[""CMA CGM""]"
"Nous innovons pour un mode de vie plus durable, dans lequel réduire l’empreinte énergétique des logements va de pair avec mieux vivre. ",[]
Nous sommes engagés pour une sobriété positive.,[]
"Iliad lutte en effet contre l’obsolescence programmée, en ne mettant sur le marché que des Freebox conçues pour durer grâce à une politique active de reconditionnement de nos produits.","[""Iliad""]"
Cette démarche permettra au journal de soutenir la transition bas-carbone en mettant en place des actions concrètes et utiles pour l’avenir.,[]
"Dès l’origine, le groue etlink a inscrit au cœur de ses roccuations la lace faite à l’homme, à la nature et aux territoires","[""etlink""]"
"Avec cette nouvelle feuille de route, nous voulons bien sûr accélérer dans la réduction de nos propres impacts, mais nous voulons aussi étendre notre ambition à l’ensemble de notre chaîne de valeur, dans la même dynamique.",[]
"Korian est engagé sur une feuille de route bas carbone, visant à limiter l’empreinte environnementale de ses activités en améliorant notamment la performance énergétique de ses bâtiments, et en adaptant ses opérations au contexte d’urgence climatique actuel.","[""Korian""]"
KRYS GROUP s’engage pour le développement durable de nos territoires.,['KRYS']
"Le groupe Casino considère qu’agir avec intégrité, équité et honnêteté est une composante clé de la performance durable.","[""Casino""]"
Bayard vit comme un élément intrinsèque de sa stratégie son implication dans la RSE.,"[""Bayard""]"
Il ne fait plus de financement de nouveau projet pétrolier depuis 2016.,[]
"Depuis l’installation des chaudières à bois, 14 280 tonnes d’énergie fossile ont été économisées.",[]
"TotalEnergies inscrit le développement durable dans toutes ses dimensions au cœur de sa stratégie, de ses projets et de ses opérations pour contribuer au bien-être des populations.","[""TotalEnergies""]"
Je m’engage pour une agriculture responsable. Et vous ?,[]
"Volvic 50cl, première bouteille d’origine végétale.","[""Volvic""]"
"Yves Rocher a supprimé les films plastiques de ses parfums, économisant 14 tonnes de plastique par an.","[""Yves Rocher""]"
Renault continue d'innover dans l'industrie automobile avec ses nouveaux modèles électriques.,"[""Renault""]"
Danone a pour mission de apporter la santé par l'alimentation au plus grand nombre.,"[""Danone""]"
Le gouvernement a annoncé de nouvelles mesures pour soutenir l'économie locale.,[]
Peugeot lance une nouvelle gamme de voitures hybrides pour répondre à la demande croissante de véhicules respectueux de l'environnement.,"[""Peugeot""]"
"Carrefour est l'un des plus grands détaillants au monde, offrant une grande variété de produits à des prix compétitifs.","[""Carrefour""]"
Il est important de protéger l'environnement pour les générations futures.,[]
